"bin_extents","bin_values"
355.81,3
364.88,4
373.96,9
383.03,9
392.11,9
401.18,16
410.26,10
419.33,19
428.41,15
437.48,22
446.56,18
455.63,26
464.71,24
473.78,35
482.86,25
491.93,34
501.01,23
510.08,25
519.16,23
528.23,20
537.31,29
546.38,33
555.46,29
564.53,21
573.61,19
582.68,22
591.76,30
600.83,24
609.91,23
618.98,33
628.06,29
637.13,35
646.21,17
655.28,17
664.36,15
673.43,24
682.51,20
691.58,23
700.66,18
709.73,18
718.81,13
727.88,17
736.96,11
746.03,20
755.11,6
764.18,12
773.26,9
782.33,8
791.41,4
800.48,7
809.56,7
818.63,6
827.71,13
836.78,5
845.86,4
854.93,9
864.01,1
873.09,1
882.16,4
891.24,6
900.31,1
909.39,2
918.46,2
927.54,4
